siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
338725054;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;AGENCE DE DEVELOPPEMENT ECONOMIQUE LOCAL;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
338829070;ess_france|sirene;ess_numerique;siren_direct;;ASS APPLICAT NOUVEAUX SERVICES INFORMATI;;;;;62.02A;;;;;;;;;;;True;conseil_it
338832264;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS INFORM COMMUN ORGAN MEDIATIQUE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
338944093;sirene;cate_juridique;siren_direct;;MIAGE REALISATIONS;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
339391088;ess_france|sirene;ess_numerique;siren_direct;;ESTIA INNOVATION;;;;;62.02A;;;;;;;;;;;True;conseil_it
339409385;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CLUB UTILISATEURS SYSTEMES INFORMATIQUES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
339425852;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS INDUSTRIELS MAITRISE ENERGIE EXPORT;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
339427015;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;INNOVATION ET COMMUNICATION;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
339444960;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE INFORMATION HABITAT ILE DE FRANCE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
339960130;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;INFORMATIQUE DOMESTIQUE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
